twit_text,date
黑色沙漠mobile 摩斯肯紅靴深淵製作5/2新增7000以上能力開放 公會王第二季 雷蒙斯戰場跨服邀請 母親節活動|?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=69504 ,오후 3:06 - 2019년 5월 2일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「블리치 - 사신 격투」(23위→30위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「Z Day: Hearts of」(61위→76위) 입니다.",오전 5:01 - 2019년 5월 2일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「리니지2 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 5월 2일
검은사막 모바일 ‘매화’ 효과 톡톡…복귀 이용자 114%↑http://www.econovill.com/news/articleView.html?idxno=362299 …,오전 2:51 - 2019년 5월 2일
2분기 출격 넷마블 ＇BTS월드＇..＇아미＇ 무장해 검은사막 모바일 기록 깰까 ,오후 10:25 - 2019년 5월 1일
"뉴키드 '쇼챔피언' 첫 출연, 각 맞춘 칼군무소년 패기 매력 발산 검은사막 모바일 포럼 #정품ㅂㅣㅇㅏ그ㄹㅏ #ㅂㅣㅇㅏ그ㄹㅏ부작용 >> http://hansol345.com  << diu56-3013",오후 10:03 - 2019년 5월 1일
"녹두꽃’ 조정석 윤시윤, 멜로보다 애틋한 형제애검은사막 모바일 포럼#정품ㅂㅣㅇㅏ그ㄹㅏ구입#수입ㅇㅕ성최음ㅈㅔ판ㅁㅐ >> http://hansol345.com   <<1kw35-v861",오후 9:38 - 2019년 5월 1일
"2분기 출격 넷마블 'BTS월드'..'아미' 무장해 검은사막 모바일 기록 깰까https://news.v.daum.net/v/20190502101135557?f=m …검은사막, 리니지M이 예약 순위 1·2위..BTS 효과 기대",오후 9:18 - 2019년 5월 1일
검은사막 모바일이 모바일mmorpg중에는 제일 괜찮은 것 같다.,오후 7:58 - 2019년 5월 1일
저한텐 한때 변천사를 같이 겪은 게임이였지만지금은 검은사막 모바일에 버닝중이랍니다 ㅎㅎㅎㅎ,오후 6:24 - 2019년 5월 1일
19년 5월 2일 신곡→ 99550 질풍가도(검은사막모바일격투가 TVCF 곡) - 하현우(국카스텐),오후 5:10 - 2019년 5월 1일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「브롤스타즈」, 5위는 「리니지2 레볼루션」 입니다.",오전 5:01 - 2019년 5월 1일
검사모검은사막모바일하실레요!!,오후 10:09 - 2019년 4월 30일
[신영증권] 펄어비스- 하반기 ‘검은사막 모바일’ 글로벌 버전 출시 예정·中 판호 관련 수혜주로 부각 (베타뉴스 추천기사) https://goo.gl/fb/CbgcYm  #증권뉴스 #blognawacom,오후 5:48 - 2019년 4월 30일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 30일
黑色沙漠mobile 4/24 家門的位相（狀態）勇猛改版&榮耀之路徽章加倍活動 &突破鍊金石改版&4等級馬車改版 |?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=68678 ,오후 3:05 - 2019년 4월 29일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「리니지2 레볼루션」, 5위는 「트라하」 입니다.",오전 5:01 - 2019년 4월 29일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(4위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「에픽세븐」(23위→7위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「벽람항로」(212위→82위) 입니다.",오전 7:17 - 2019년 4월 28일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「트라하」, 5위는 「리니지2 레볼루션」 입니다.",오전 7:17 - 2019년 4월 28일
트라하 때문에 검은사막 모바일을 다시 해봤는데 헐... 모바일 게임리뷰 엉아 https://youtu.be/tQt_iDwC2OQ  via @YouTube,오후 8:25 - 2019년 4월 27일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「트라하」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 26일
검은사막모바일 매화 레드벨벳 슬기 커마했다두시간반? 정도 걸렸다흑랑 각성해야하는데... 매화 키워야겠다  ,오후 12:41 - 2019년 4월 25일
지금 펄어비스가 제정신인가 싶은데...1. 오늘부터 검은사막 모바일 새 이벤트 시작2. iOS 버전은 마켓 심사가 늦어져 아직까지 접속 불가3. 안드로이드는 정상 접속4. 이 상태에서 이벤트 개시(?!)5. iOS와 안드로이드 버전은 서버를 공유함(?!?!)...미친 거 아닌가?,오전 6:55 - 2019년 4월 25일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「뮤오리진2」(7위→11위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(37위→60위) 입니다.",오전 5:01 - 2019년 4월 25일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「트라하」, 3위는 「블레이드&소울 레볼루션」, 4위는 「검은사막 모바일」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 25일
검은사막 모바일 커마 이세상의 것이 아니다....... ,오후 8:40 - 2019년 4월 24일
黑色沙漠mobile 4/17新角色梅花誕生＆繼承 |?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=67320 ,오후 3:06 - 2019년 4월 24일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「트라하」, 3위는 「검은사막 모바일」, 4위는 「블레이드&소울 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 24일
트라하 . 사전예약 받아서..이제해보는데(과제땜에..)진짜 요즘 모델링 갓이구나 ㅋ ㅋ 검은사막모바일때부터 알앗지만 새삼.. ,오후 6:48 - 2019년 4월 23일
黑色沙漠mobile 4/17新角色梅花誕生＆繼承 |?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=67048 ,오후 3:05 - 2019년 4월 23일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「트라하」, 3위는 「검은사막 모바일」, 4위는 「블레이드&소울 레볼루션」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 23일
Next Update: As Global Launch soon on #BlackDesertMobile (Q2 / Q3 or end of 2019)Did I features for swimming systems then Underwater gameplay including 360 camera (3d world) for Mobile?#MMORPG #Game #BDM #BlackDesertM #PearlAbyss #VideoGame #검은사막모바일@BDO_News,오전 3:05 - 2019년 4월 23일
그나마 절전모드에 검은사막모바일은 흑정령모드써서 느리게 닳고잇어,오후 10:00 - 2019년 4월 22일
&quot;1년 넘게 해봤다&quot; …게임기자가 본 &#039;검은사막 모바일&#039; - DAILYFEED ,오후 8:26 - 2019년 4월 22일
'조 PD가 직접 물었다' 게임 전문기자가 본 검은사막 모바일  ,오후 8:01 - 2019년 4월 22일
자기도 모르는 사이에 검은 사막 모바일에 캐릭터를 만들었다더라.. 심지어 계정 이름은 매드패러독스 ,오전 6:46 - 2019년 4월 22일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「트라하」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 22일
"‘공들인 액션과 움직임’ 매화, 검은사막 모바일의 새얼굴 될까?  ",오후 10:52 - 2019년 4월 21일
黑色沙漠mobile 4/17新角色梅花誕生＆繼承 |?い砂漠モバイル梅花|검은사막모바일 매화 https://douga.gameday-app.net/?p=66438 ,오전 9:06 - 2019년 4월 21일
검은사막 모바일 자캐들...남캐는 아무리 커마해도 별로라 안키우고 있음..ㅠㅠ ,오전 8:31 - 2019년 4월 21일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「트라하」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 21일
검은사막 모바일은 사람이 할 게임이 아님,오전 11:52 - 2019년 4월 20일
와! 검은사막 모바일 갓겜이잖아?!?!?!저랑 검사모 같이 하실분... ,오전 6:29 - 2019년 4월 20일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「트라하」, 5위는 「브롤스타즈」 입니다.",오전 5:01 - 2019년 4월 20일
검은사막 모바일 와! 재밌다! 새로워! 와! 신캐 나왔대!!! 대박~~~,오후 10:00 - 2019년 4월 19일
"저랑 검은사막 모바일 하실분,,,",오후 3:40 - 2019년 4월 19일
