twit_text,date
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「브롤스타즈」(7위→6위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(38위→15위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「몬스터 길들이기 for kak」(118위→93위) 입니다.",오전 4:01 - 2019년 1월 11일
[더코리아뉴스] 배순민 기자 =‘라그나로크M: 영원한 사랑’ 북미*남미*오세아니아 총 43개 지역 서비스 돌입 ,오전 12:28 - 2019년 1월 11일
‘라그나로크M:영원한 사랑’ 아시아 찍고 북미-남미-오세아니아 진출 http://www.g-enews.com/view.php?ud=20190111163938348011501255f1_1 …,오전 12:01 - 2019년 1월 11일
"라그나로크 '''온라인'''이요.(라그나로크2, 라그나로크R, 라그나로크M, 라그나로크 포링의 역습 아님)",오전 3:21 - 2019년 1월 10일
라그나로크M이랑 문명전쟁 하실 분,오후 8:22 - 2019년 1월 6일
#라그m #라그나로크m명궁4가 아니라 아쉽긴 하지만 드디어 질풍 활을 만들었다그간 써오던 명궁2 미스틱은 너덜너덜해져서 거래소행본캐는 7제련도 안뜨는데 부계정은 스트레이트로 9 가버리네; 욕심부리다 결국 8됨ㅋㅋㅋ큐ㅠㅠㅠ ,오전 11:40 - 2018년 12월 25일
라그나로크m 깔아서 19렙까지 키웟는데 노잼이라 삭제햇음,오후 6:20 - 2018년 12월 23일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「뮤오리진2」(6위→5위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(32위→25위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「Idle Heroes - 아이」(158위→85위) 입니다.",오전 4:01 - 2018년 12월 22일
라그나로크M - 스노우볼 만들기 https://youtu.be/NeDb4qn5Kgk?list=PL6d4yyRDHk9M2v53pWNnrUAZKAiSzah3O … @YouTube 님이 공유,오후 8:13 - 2018년 12월 21일
라그나로크M - 포링 수제사탕 만들기 https://youtu.be/-UFspXtm034?list=PL6d4yyRDHk9M2v53pWNnrUAZKAiSzah3O … @YouTube 님이 공유,오전 5:27 - 2018년 12월 20일
[더코리아뉴스] 배순민 기자 =‘라그나로크M: 영원한 사랑’ 북미?남미?오세아니아 내년 1월9일 정식 서비스 개시,오전 12:37 - 2018년 12월 18일
"라그나로크M, 내달 9일 북남미·오세아니아 출시 http://i.wik.im/390743  #라그나로크",오후 9:29 - 2018년 12월 17일
라그나로크M - 스노우볼 만들기 https://youtu.be/NeDb4qn5Kgk?list=PL6d4yyRDHk9M2v53pWNnrUAZKAiSzah3O … @YouTube 님이 공유,오전 6:53 - 2018년 12월 14일
라그나로크M - 스노우볼 만들기 https://youtu.be/NeDb4qn5Kgk?list=PL6d4yyRDHk9M2v53pWNnrUAZKAiSzah3O … @YouTube 님이 공유,오후 8:47 - 2018년 12월 12일
"3일 연속으로 순위가 내린 게임 중 가장 순위가 높은 게임은 「모두의마블 : 지구대혁명 fo」(7위→8위→9위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(20위→23위→30위) 입니다.",오전 4:01 - 2018년 12월 8일
"3일 연속으로 순위가 내린 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(16위→17위→20위), 30위 권에서 가장 변동폭이 큰 게임은 「MARVEL 퓨처파이트」(23위→28위→29위) 입니다.",오전 4:01 - 2018년 12월 6일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「뮤오리진2」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(17위→20위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「오버히트」(42위→55위) 입니다.",오전 4:01 - 2018년 12월 6일
"3일 연속으로 순위가 내린 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(15위→16위→17위), 30위 권에서 가장 변동폭이 큰 게임은 「MARVEL 퓨처파이트」(17위→23위→28위) 입니다.",오전 4:01 - 2018년 12월 5일
님들 그런데 라그나로크m에 나오는 얘 누구임! 개이뻐보이는데 ,오후 6:11 - 2018년 12월 3일
라그나로크M 자동전투 켜두고 낮잠 자고 일어나면 얼마나 꿀인지 알아?,오후 9:17 - 2018년 12월 2일
11월 30일 오늘의 게임 소식 입니다.#오늘의게임소식 #그랜드체이스 #나이츠크로니클 #노블레스 #블루스톤2 #로도스도전기온라인 #라그나로크M http://game.donga.com/90685/  http://game.donga.com/90685/ ,오전 3:10 - 2018년 11월 30일
"라그나로크M: 영원한 사랑’, 북미, 남미, 오세아니아 버전 사전예약 시작 : ",오후 4:55 - 2018년 11월 27일
데일리 판타지랑라그나로크m이랑 무슨연관이 있는거야? ,오전 1:25 - 2018년 11월 27일
"[더코리아뉴스] 배순민 기자 =‘라그나로크M: 영원한 사랑’, 북미*남미*오세아니아 버전 사전예약 개시 ",오전 12:26 - 2018년 11월 27일
라그나로크M같은 거 좋아함,오후 6:12 - 2018년 11월 24일
"3일 연속으로 순위가 내린 게임 중 가장 순위가 높은 게임은 「컴투스프로야구2018」(18위→19위→23위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(13위→20위→27위) 입니다.",오전 4:01 - 2018년 11월 23일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「뮤오리진2」(3위→4위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(20위→27위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「데스티니 차일드 for kak」(53위→87위) 입니다.",오전 4:01 - 2018년 11월 23일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「세븐나이츠 for Kakao」(6위→10위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(13위→20위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「몬스터 길들이기 for kak」(68위→98위) 입니다.",오전 4:02 - 2018년 11월 22일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(14위→13위), 30위 권에서 가장 변동폭이 큰 게임은 「파이널 판타지 XV: 새로운 」(33위→29위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「결전!헤이안쿄」(92위→78위) 입니다.",오전 4:01 - 2018년 11월 21일
"[더코리아뉴스] 배순민 기자 =‘라그나로크M’, 국민 마술사 최현우 콜라보레이션 돌입  ",오후 8:03 - 2018년 11월 19일
[니린형TV] 181117_그림방송_라그나로크m_팬아트... 컬러작업힘들다 증말... http://youtu.be/g3kSg6kpnQc?a ,오후 7:14 - 2018년 11월 18일
[니린형TV] 181118_그림방송_라그나로크m_팬아트... 컬러작업2 http://youtu.be/JfTP0ukKBAU?a ,오전 12:28 - 2018년 11월 18일
영원한 사랑의 라그나로크M그리운 추억이 가득한 그곳 상상이 현실이 되는 미드가르드 대륙으로 여러분을 초대합니다. 더욱 흥미로운 모험의 나라로 함께 떠나요! http://aos.kr/?i=z21kBw ,오후 9:28 - 2018년 11월 16일
"3일 연속으로 순위가 내린 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(9위→11위→13위), 30위 권에서 가장 변동폭이 큰 게임은 「액스(AxE)」(23위→27위→30위) 입니다.",오전 4:01 - 2018년 11월 16일
